total_cases,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million,positive_rate,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_cases_percentage,new_deaths_percentage,anticorps,port_du_masque,centre_de_test_covid,symptomes_covid
1.0,0.08462929149546497,-0.3850192862896793,0.08462929097770783,-0.38502009395753545,-0.08513234179035545,0.8381926909893753,0.20777707248145838,-0.17863950852936544,0.837423780024377,0.08462929149546486,-0.3850192862896792,-0.5383165831714507,-0.41973251730927885,-0.44053520348909797,-0.41092756943428427
0.08462929149546497,1.0,0.174386188438573,0.9999999999999978,0.17438534204627165,0.6804416248828733,0.20546657430783863,0.19026066737359004,0.15235994100685668,0.20610464967150768,0.9999999999999996,0.17438618843857318,0.26665977590513185,-0.04275772849275119,0.40443890240503655,0.4184786006829566
-0.3850192862896793,0.174386188438573,1.0,0.1743861903219165,0.999999999861975,0.3220077729202455,-0.22381191662907166,0.29206122354514186,0.6356707601690279,-0.22312538820880462,0.1743861884385733,0.9999999999999998,0.3166413358209415,-0.020888804300550217,0.24595452696917158,0.2568191842834253
0.08462929097770783,0.9999999999999978,0.1743861903219165,1.0,0.17438534392960756,0.6804416255105058,0.20546657365194396,0.19026066923178642,0.15235994493023533,0.2061046490148281,0.9999999999999989,0.17438619032191663,0.2666597783482326,-0.04275772681785293,0.40443890320637804,0.4184786021239869
-0.38502009395753545,0.17438534204627165,0.999999999861975,0.17438534392960756,1.0,0.3220062396759652,-0.22381255545701534,0.29206161055486285,0.6356707283375191,-0.2231260264776643,0.1743853420462718,0.9999999998619759,0.3166414081729912,-0.020887225340445157,0.24595563867745446,0.25681965938957363
-0.08513234179035545,0.6804416248828733,0.3220077729202455,0.6804416255105058,0.3220062396759652,1.0,0.04353576878734572,0.2103528305854293,0.1362946420062364,0.04424866657599057,0.6804416248828733,0.32200777292024585,0.2588737401056946,0.1006731938116328,0.31003231867232894,0.31928320780184444
0.8381926909893753,0.20546657430783863,-0.22381191662907166,0.20546657365194396,-0.22381255545701534,0.04353576878734572,1.0,0.5512928488776175,-0.1159019707614584,0.9999972671310838,0.20546657430783835,-0.22381191662907135,-0.21858435398508586,-0.35767505891911905,-0.137210751770199,-0.3228515655962967
0.20777707248145838,0.19026066737359004,0.29206122354514186,0.19026066923178642,0.29206161055486285,0.2103528305854293,0.5512928488776175,1.0,0.20638174600059908,0.5524084590899124,0.19026066737359032,0.2920612235451421,0.2445458403825339,0.05985255443639592,0.2577603358245164,0.03955559417570414
-0.17863950852936544,0.15235994100685668,0.6356707601690279,0.15235994493023533,0.6356707283375191,0.1362946420062364,-0.1159019707614584,0.20638174600059908,1.0,-0.11525575155019434,0.15235994100685674,0.6356707601690272,0.2121228341900554,-0.031502992179385486,0.1190074802422952,0.2834691930705177
0.837423780024377,0.20610464967150768,-0.22312538820880462,0.2061046490148281,-0.2231260264776643,0.04424866657599057,0.9999972671310838,0.5524084590899124,-0.11525575155019434,1.0,0.20610464967150768,-0.22312538820880465,-0.21749311723269804,-0.3573771966879216,-0.13607559968090358,-0.3222507613290263
0.08462929149546486,0.9999999999999996,0.1743861884385733,0.9999999999999989,0.1743853420462718,0.6804416248828733,0.20546657430783835,0.19026066737359032,0.15235994100685674,0.20610464967150768,1.0,0.17438618843857331,0.26665977590513196,-0.04275772849275109,0.4044389024050365,0.418478600682957
-0.3850192862896792,0.17438618843857318,0.9999999999999998,0.17438619032191663,0.9999999998619759,0.32200777292024585,-0.22381191662907135,0.2920612235451421,0.6356707601690272,-0.22312538820880465,0.17438618843857331,1.0,0.3166413358209416,-0.020888804300550207,0.24595452696917153,0.2568191842834253
-0.5383165831714507,0.26665977590513185,0.3166413358209415,0.2666597783482326,0.3166414081729912,0.2588737401056946,-0.21858435398508586,0.2445458403825339,0.2121228341900554,-0.21749311723269804,0.26665977590513196,0.3166413358209416,1.0,0.12533834312352787,0.7533343305790817,0.4071712565503439
-0.41973251730927885,-0.04275772849275119,-0.020888804300550217,-0.04275772681785293,-0.020887225340445157,0.1006731938116328,-0.35767505891911905,0.05985255443639592,-0.031502992179385486,-0.3573771966879216,-0.04275772849275109,-0.020888804300550207,0.12533834312352787,1.0,0.2593609211649706,0.38643016831547605
-0.44053520348909797,0.40443890240503655,0.24595452696917158,0.40443890320637804,0.24595563867745446,0.31003231867232894,-0.137210751770199,0.2577603358245164,0.1190074802422952,-0.13607559968090358,0.4044389024050365,0.24595452696917153,0.7533343305790817,0.2593609211649706,1.0,0.6888752571549556
-0.41092756943428427,0.4184786006829566,0.2568191842834253,0.4184786021239869,0.25681965938957363,0.31928320780184444,-0.3228515655962967,0.03955559417570414,0.2834691930705177,-0.3222507613290263,0.418478600682957,0.2568191842834253,0.4071712565503439,0.38643016831547605,0.6888752571549556,1.0
